UNDETEK.EXE — Full Decompiled Source Manifest
======================================================================

Address            Category         Resolved Name                                 Ghidra Name
0x140007270        main             main_orchestrator                             FUN_140007270
0x140007400        utility          console_printf_wrapper                        FUN_140007400
0x140007470        utility          console_scanf_wrapper                         FUN_140007470
0x1400074e0        utility          sprintf_wrapper                               sprintf
0x140007530        utility          _Compressed_pair_tmpl_tmpl                    _Compressed_pair<><>
0x140007560        misc             FUN_140007560                                 FUN_140007560
0x140007590        misc             FUN_140007590                                 FUN_140007590
0x1400075c0        misc             FUN_1400075c0                                 FUN_1400075c0
0x140007620        utility          FUN_140007620                                 FUN_140007620
0x140007650        misc             FUN_140007650                                 FUN_140007650
0x140007680        utility          FUN_140007680                                 FUN_140007680
0x140007740        misc             FUN_140007740                                 FUN_140007740
0x1400077d0        utility          FUN_1400077d0                                 FUN_1400077d0
0x140007970        misc             FUN_140007970                                 FUN_140007970
0x1400079e0        misc             FUN_1400079e0                                 FUN_1400079e0
0x140007a50        misc             FUN_140007a50                                 FUN_140007a50
0x140007b30        misc             FUN_140007b30                                 FUN_140007b30
0x140007b40        misc             FUN_140007b40                                 FUN_140007b40
0x140007be0        misc             FUN_140007be0                                 FUN_140007be0
0x140007c40        misc             FUN_140007c40                                 FUN_140007c40
0x140007ca0        misc             FUN_140007ca0                                 FUN_140007ca0
0x140007cb0        misc             FUN_140007cb0                                 FUN_140007cb0
0x140007cc0        misc             FUN_140007cc0                                 FUN_140007cc0
0x140007d20        misc             FUN_140007d20                                 FUN_140007d20
0x140007da0        misc             FUN_140007da0                                 FUN_140007da0
0x140007e10        misc             FUN_140007e10                                 FUN_140007e10
0x140008070        utility          _Get_size_of_n<1>                             _Get_size_of_n<1>
0x140008090        misc             FUN_140008090                                 FUN_140008090
0x1400080e0        misc             FUN_1400080e0                                 FUN_1400080e0
0x1400080f0        misc             FUN_1400080f0                                 FUN_1400080f0
0x140008110        misc             FUN_140008110                                 FUN_140008110
0x140008130        misc             FUN_140008130                                 FUN_140008130
0x140008260        misc             FUN_140008260                                 FUN_140008260
0x140008350        misc             FUN_140008350                                 FUN_140008350
0x140008380        misc             FUN_140008380                                 FUN_140008380
0x1400083c0        misc             FUN_1400083c0                                 FUN_1400083c0
0x140008400        misc             FUN_140008400                                 FUN_140008400
0x140008440        utility          _Max_value<unsigned___int64>                  _Max_value<unsigned___int64>
0x140008490        utility          _Min_value<unsigned___int64>                  _Min_value<unsigned___int64>
0x1400084e0        misc             FUN_1400084e0                                 FUN_1400084e0
0x140008530        misc             FUN_140008530                                 FUN_140008530
0x1400085b0        utility          _String_val_tmpl                              _String_val<>
0x1400085f0        misc             FUN_1400085f0                                 FUN_1400085f0
0x140008630        misc             FUN_140008630                                 FUN_140008630
0x140008670        utility          FUN_140008670                                 FUN_140008670
0x1400086d0        misc             FUN_1400086d0                                 FUN_1400086d0
0x140008780        misc             FUN_140008780                                 FUN_140008780
